trade_date,date_str,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,dif,dea,macd,kdj_k,kdj_d,kdj_j,rsi6,rsi12,rsi24,boll_upper,boll_mid,boll_lower
20250703,2025-07-03,1412.0,1422.69,1408.0,1415.6,1409.6,6.0,0.4257,24412.67,3456733.002,,,,,0.0,0.0,0.0,,,,,,,,,
20250704,2025-07-04,1415.7,1431.89,1410.01,1422.22,1415.6,6.62,0.4676,28766.91,4086547.268,,,,,0.5281,0.1056,0.845,,,,,,,,,
20250707,2025-07-07,1422.28,1423.5,1410.01,1410.7,1422.22,-11.52,-0.81,23854.67,3370562.659,,,,,0.0168,0.0878,-0.142,,,,,,,,,
20250708,2025-07-08,1410.71,1420.0,1410.7,1416.11,1410.7,5.41,0.3835,18673.7,2643302.691,,,,,0.0477,0.0798,-0.0642,,,,,,,,,
20250709,2025-07-09,1415.0,1429.97,1414.17,1418.88,1416.11,2.77,0.1956,27745.32,3950810.723,1416.7,,,,0.2922,0.1223,0.3398,,,,,,,,,
20250710,2025-07-10,1418.97,1436.18,1410.4,1426.5,1418.88,7.62,0.537,38725.03,5503329.754,1418.88,,,,1.0884,0.3155,1.5458,,,,,,,,,
20250711,2025-07-11,1423.16,1458.0,1423.16,1427.0,1426.5,0.5,0.0351,57243.35,8239010.39,1419.84,,,,1.7397,0.6003,2.2788,,,,66.55,,,,,
20250714,2025-07-14,1430.0,1434.98,1421.6,1423.6,1427.0,-3.4,-0.2383,27780.94,3961736.006,1422.42,,,,1.9588,0.872,2.1736,,,,52.21,,,,,
20250715,2025-07-15,1420.98,1422.93,1408.32,1411.0,1423.6,-12.6,-0.8851,35405.78,5005150.165,1421.4,,,,1.1031,0.9182,0.3698,35.33,45.11,15.78,50.46,,,,,
20250716,2025-07-16,1410.01,1417.49,1409.95,1411.03,1411.0,0.03,0.0021,21286.05,3006882.579,1419.83,1418.26,,,0.4225,0.8191,-0.7932,25.37,38.53,-0.94,40.56,,,,,
20250717,2025-07-17,1413.98,1423.01,1412.88,1416.35,1411.03,5.32,0.377,23105.54,3273100.406,1417.8,1418.34,,,0.3088,0.717,-0.8164,22.3,33.12,0.67,45.71,,,,,
20250718,2025-07-18,1420.0,1437.81,1416.38,1437.0,1416.35,20.65,1.458,41823.41,5984949.774,1419.8,1419.82,,,1.8635,0.9463,1.8344,34.11,33.45,35.43,62.35,,,,,
20250721,2025-07-21,1436.99,1446.8,1435.0,1443.0,1437.0,6.0,0.4175,26203.31,3779891.829,1423.68,1423.05,,,3.539,1.4648,4.1484,46.01,37.64,62.75,66.67,66.62,,,,
20250722,2025-07-22,1444.0,1466.6,1440.68,1464.98,1443.0,21.98,1.5232,42118.98,6127636.851,1434.47,1427.93,,,6.5648,2.4848,8.16,63.08,46.12,97.0,81.08,71.86,,,,
20250723,2025-07-23,1469.0,1495.0,1468.95,1475.5,1464.98,10.52,0.7181,45044.84,6676301.462,1447.37,1433.6,,,9.6998,3.9278,11.544,67.89,53.38,96.91,100.0,83.47,,,,
20250724,2025-07-24,1476.0,1499.0,1475.0,1491.5,1475.5,16.0,1.0844,38803.64,5786337.377,1462.4,1440.1,,,13.3218,5.8066,15.0304,75.84,60.86,105.78,100.0,85.1,,,,
20250725,2025-07-25,1491.4,1491.4,1453.0,1455.0,1491.5,-36.5,-2.4472,41911.26,6140078.741,1466.0,1442.9,,,13.096,7.2645,11.663,67.72,63.15,76.85,67.31,62.8,,,,
20250728,2025-07-28,1453.0,1454.99,1436.3,1438.66,1455.0,-16.34,-1.123,38586.32,5560966.386,1465.13,1444.4,,,11.4665,8.1049,6.7232,55.89,60.73,46.22,50.77,54.06,,,,
